period,SMALL LoEP,ME1 EP2,SMALL HiEP,BIG LoEP,ME2 EP2,BIG HiEP
196012,-0.02209614309269705,,,,,
196108,0.050043,,,,,
196109,0.053689,,,,,
196112,-0.04290297761418707,,,,,
196208,0.06379077165010812,,,,,
196209,-0.02520686859016442,,,,,
196212,0.03255772417355469,,,,,
196303,0.02509,,,,,
196308,0.009084679457689888,,,,,
196309,-0.04050778208835571,,,,,
196310,0.0,,,,,
196312,0.026890946514456938,,,,,
196403,-0.051984,,,,,
196408,-0.020525306154631585,,,,,
196409,0.015942731828552506,,,,,
196410,-0.0375,,,,,
196412,0.012454184664760856,,,,,
196503,0.015306,,,,,
196508,0.0284525047551601,,,,,
196509,0.0043760288151963945,,,,,
196510,0.016129,,,,,
196512,-0.004259069959962782,,,,,
196603,0.016949,,,,,
196604,-0.135593,,,,,
196605,-0.179487,,,,,
196606,-0.08112883571504584,,,,,
196608,-0.08074135895654411,,,,,
196609,-0.01407323865445384,,,,,
196612,0.029507820729560902,,,,,
196703,,,0.146341,,,
196704,0.018519,,,-0.071429,,
196705,,,,0.033333,,
196706,0.041445002480136696,0.0536004221440418,0.06070304624729726,0.20185658507293744,0.10912494326894426,-0.01618928140747205
196707,0.056081148067519404,0.09621861886306805,0.006040868743331195,0.04848587555289134,0.11318193016765232,0.150735
196708,0.0042263587643475466,0.009671349179705342,0.09973168698161587,0.03334185460475181,0.0023543095249573126,0.058152
196709,0.027617451785429355,0.0228065737382015,0.01390220099677894,0.14749602940177198,0.017032717716203193,0.04581731425912122
196710,-0.031640371993714285,-0.02120332679486828,0.08129674993793949,-0.03365844885418464,0.02994059927149207,-0.08322309859893914
196711,0.023289430440414073,-0.04409774951803014,0.00479385133421733,0.0272479854778108,-0.014074252179911402,
196712,0.033841970720146275,0.03367713290998542,0.02715743160052366,0.12101387208094572,0.07112774806976116,0.029135777038486566
196801,-0.005762265370760812,0.03666018043019248,0.044373456334381875,0.0659789955340812,0.07370327086735307,-0.03299034260758906
196802,-0.03985718098860036,-0.08795699135021402,,-0.0699093217549414,-0.04743219623668301,0.014319439453340695
196803,-0.01668787968622779,0.010410726106004511,0.044023832229569654,-0.014209302119766003,-0.0070996126450030474,-0.0273669845455094
196804,0.09874804470723156,0.12439568036214407,0.2229816241773137,0.18835455862950673,0.057386963031363106,0.098684
196805,0.02550930342945295,-0.001661910491459603,0.02037568038829396,0.19234838308722998,0.08123694224953684,
196806,-0.008916702559296153,0.026245079045045885,-0.04582682531951897,0.0032933882888837914,0.03157445005340559,0.027177296814603593
196807,-0.09936867811690972,-0.09818220722513996,-0.04729454518313356,-0.06299310796398963,0.0384905459705752,-0.037395280144782495
196808,0.035247352623797176,0.008644433944653413,0.03661089723082266,0.08924773060365343,0.02996150678725591,0.10695797051540007
196809,0.10108334114343456,0.032761821032213236,0.0703338744743845,0.10324682206098007,0.037346038559968105,0.08032665747027197
196810,0.027528621807118688,0.08335115920762548,0.008926726246045893,0.05532454190292529,0.012355530267631682,0.01857208112294976
196811,0.06043107198947772,0.02054483749105912,0.11280003174038292,0.08774104799220621,0.0655264832044751,0.06677502353143756
196812,-0.028411951562629673,-0.013333659767613028,-0.041791161278820266,0.036511445412067134,-0.02085564645982243,-0.033741563983238895
196901,-0.051141146643402725,0.005241330073712381,0.011176807916307317,0.06249193539009906,-0.015940748517638888,-0.0344415506576413
196902,-0.07982035233792267,-0.04601115070286515,-0.112727,-0.10658461303789173,-0.0650401061959946,-0.08216628040650473
196903,0.03926609588019912,0.0336097947550982,0.02797910777591891,0.059256762733558274,-0.0202022891224999,0.06597285152308471
196904,0.07790980338770516,0.035096700343610704,0.08298281451886515,0.05136113440443273,-0.0285355856739938,-0.10614433278487014
196905,0.013430222441681836,-0.03318054497729289,0.028571,0.10235734154293613,0.028196866464561855,-0.005359819761229503
196906,-0.06969915249576275,-0.10218447450052087,-0.059423512087472985,-0.10886314057081464,-0.10316559020920878,-0.09985911220666002
196907,-0.1076954025681486,-0.11480074600655502,-0.0509457029018193,-0.09141239134797821,-0.10017147415754199,-0.12849138251025188
196908,0.11090418770780552,0.022801594290210257,0.14434315842265605,0.06509969451854031,0.08708493604677989,0.04200816386162796
196909,-0.020197860647752787,-0.04514628567402264,0.038903055192904316,-0.05622454196352475,-0.02030311755217206,-0.05152344291665005
196910,0.13905803368733702,0.053131434747983874,0.10764824489498975,0.10105811277985828,0.061481121295217,0.07193879907296366
196911,-0.03125,-0.06092412228490049,0.057750906033076824,-0.005250674269584081,-0.06145916888839617,-0.06024517695060418
196912,-0.01775717869344648,-0.07020712121190104,0.021064815687729128,-0.060190508199901,-0.06383075978518196,-0.02923512283545784
197001,-0.031264713925967955,-0.05246034396329822,-0.06038440590255185,-0.02920836643382605,0.018150864776765196,-0.148472
197002,0.036413470123819805,0.08341897964177829,0.06572133527877007,0.08879481643414529,-0.0035846850929480666,-0.076642
197003,0.011889566520910808,-0.03797370925414672,0.004623946505139136,-0.059521524115790876,-0.051401413148637665,-0.03580693712944557
197004,-0.18008786866975535,-0.11398440418662575,-0.23976604291472,-0.23790797345208403,-0.19032868982999096,-0.259036
197005,-0.13644660958749202,-0.053802556553629845,-0.025478,-0.04969074280178987,-0.16694579342026025,
197006,-0.05248521632310409,-0.06076757849815436,-0.027246907580222943,-0.06680764686676641,-0.08241854544838144,-0.07148090402544163
197007,0.07191801623784438,0.00992552417138912,0.07090543583031211,0.018633781299911573,0.09626424479768725,0.04656382809328022
197008,0.027454280632545815,0.0076972965654136605,0.0701379003969351,0.12387457139599803,0.009802049308454228,0.09933324826243099
197009,0.08220536726917833,0.08972597495301547,0.10583458144794348,0.26090969734282815,0.13042907414438185,0.05801499020969022
197010,-0.044727862141236474,0.006837353912758106,-0.028707351546012776,-0.14696229728180973,-0.023891948429283792,0.08254
197011,0.027663193594116498,-0.061266596648338,0.10674178495636497,-0.031165802968326228,0.01632497121934702,0.059809634855077884
197012,0.07053185786564382,0.08302811188586448,0.05535825094819317,0.08027442411563894,0.12220717965484389,0.05190064274967801
197101,0.10450127821606611,0.11113787058533961,0.06792367520645583,0.1161549203858056,0.11669142189006804,0.09399971121603173
197102,0.013333,0.051175057135420865,0.0838084604750435,0.12116049790626289,0.007511541810913793,0.030018334580288915
197103,0.035009655394412253,-0.005932567790263358,0.09340378446582769,0.11565753862086746,0.0230976993879812,0.15559775518587352
197104,-0.021416816352493512,-0.06984181733263904,0.06861835810529636,0.0007305312952823901,0.06324657982695031,0.139706
197105,-0.0236595619097111,-0.026050193411536422,0.013560456721585458,-0.04501256004188063,-0.10925184732872273,-0.023148
197106,0.014425775105798929,-0.016904846392700592,0.04175724441901069,-0.051350579724886186,-0.0294190126178355,0.02796629690326457
197107,-0.11125526845815627,0.015487144479641675,-0.07806229686208456,-0.07593002576373793,-0.03629621120735559,-0.016439590984339458
197108,0.04536408431285831,0.05234590327804255,0.0500773178481511,0.09312229218353903,0.03860877982423585,0.01364988020344551
197109,0.007225866742160888,0.00842872461052889,-0.018170032929016068,0.01068889625016967,0.028790176863815124,-0.0309776215940239
197110,-0.11360067575997221,-0.017782566800510546,-0.07553256633990993,-0.029146794230375705,-0.0031492822238319215,-0.09349444703198087
197111,-0.04471958032391018,-0.07460891577953274,-0.059781132425104536,-0.007369086140765313,-0.03798605670930988,0.0010000599972613147
197112,0.09595710678796415,0.10448847054037842,0.09726064173248462,0.15963132994443452,0.15101442759776368,0.07601623579635591
197201,-0.032296497416881384,0.023798377219990067,-0.0314305182255767,0.091320298689335,0.10028251102222979,-0.030174900490392318
197202,0.254902,0.08929612922515051,0.04593316451353266,0.007462491305609705,0.007414070679338181,0.029421162093678743
197203,0.08061852206483727,-0.03861494656881695,-0.040569478845000694,0.027580235394636783,0.060974448066784225,-0.05749903688444255
197204,0.01105,-0.021100372301060138,0.008418634188122923,-0.014041083928053377,-0.049920942784898656,
197205,-0.011398709323625704,-0.0407499958932078,0.07627034807589175,0.03723759333697365,0.018409744080068697,-0.142857
197206,-0.05272173674229185,-0.02845592464165513,-0.048159539492639944,-0.030156161007862333,-0.02820182673033784,-0.07565656862796245
